the_geom,Latitude,Longitude,Location,Name,Quantity,Type
POINT (-87.63172899999999 41.884648),41.884648,-87.631729,100 West Randolph Street,100 West Randolph Street,2,Type B
POINT (-87.767271 41.9386854),41.9386854,-87.767271,5618 W Belmont,Chase Bank / Dollar Tree,1,Decorative
POINT (-87.65748 41.893501),41.893501,-87.65748,644 N. Racine Avenue,644 N. Racine Avenue,4,Type B
POINT (-87.664213 41.85464900000001),41.854649,-87.664213,2018 South Blue Island Avenue,"2018-2020 Blue S. Blue Island, Children Care Center/ Restaurant Strip",2,Type B
POINT (-87.68052599999999 41.917572),41.917572,-87.680526,1942 North Hoyne Avenue,"2105 W Armitage Ave, The Nook #2",1,Type B
POINT (-87.634472 41.84207),41.84207,-87.634472,2814 South Princeton Avenue,2812 S Princeton Avenue,2,Type B
POINT (-87.78876200000002 41.79239499999999),41.792395,-87.788762,6652 W. Archer Ave,6652 W. Archer Ave,1,Type B
POINT (-87.76347155999999 41.99837285),41.99837285,-87.76347156,6432 N. Central Avenue,6432 N. Central Avenue,1,Type B
POINT (-87.53508057 41.70348944),41.70348944,-87.53508057,10537 S Ewing,Law Office,1,Type B
POINT (-87.70624292 41.87009486999999),41.87009487,-87.70624292,3210 W. Arthington Ave,Safer Crossroad Correction,1,Type B
POINT (-87.708148 41.96697100000001),41.966971,-87.708148,4701-4707 North Kedzie Avenue,4701 North Kedzie Avenue - Noon O Kabab,1,Type B
POINT (-87.668811 41.942429999999995),41.94243,-87.668811,3326 N. Ashland,Natural Healers Spa,1,Type B
POINT (-87.714903 41.93379999999999),41.9338,-87.714903,2883 North Milwaukee Avenue,"2883 N. Milwaukee, Campus Arts",1,Type B
POINT (-87.78659600000002 41.95399599999999),41.953996,-87.786596,4024-26 N Narragansett Ave,4024-26 N Narragansett Ave,1,Type B
POINT (-87.65836679 41.96666035999999),41.96666036,-87.65836679,4650 N. Broadway,4650 N. Broadway,5,Type B
POINT (-87.69235607 41.919633909999995),41.91963391,-87.69235607,2118 N Milwaukee,ACE HARDWARE,1,Type B
POINT (-87.62790399999999 41.900086),41.900086,-87.627904,12 East Walton Street,933 North State Street - Walgreens,1,Type B
POINT (-87.63094399999999 41.834607),41.834607,-87.630944,3300 South Wentworth Avenue,"33rd Street Red Line Exit, 3300 South Wentworth Avenue",2,Type B
POINT (-87.69645299999999 41.88684800000001),41.886848,-87.696453,2800 W. Fulton,"Heritage Woods of Chicago, 2800 W. Fulton",1,Type B
POINT (-87.624949 41.879915),41.879915,-87.624949,122 South Michigan Avenue,122 S Michigan Ave,2,Type B
POINT (-87.820451 41.945197),41.945197,-87.820451,7718 W Addison St,"Old 41 Saloon, 7718 W Addison St",1,Type B
POINT (-87.62729299999998 41.891361999999994),41.891362,-87.627293,515 North State Street,444 N. Wabash Ave.,1,Type B
POINT (-87.60571599999999 41.761783),41.761783,-87.605716,7310-7312 South Cottage Grove Avenue,7312 South Cottage Grove Avenue - One Cut At A Time,1,Type B
POINT (-87.728155 41.972897),41.972897,-87.728155,5016 N. Pulaski,"5016 N. Pulaski, GT's Food",1,Type B
POINT (-87.61892758 41.802206029999994),41.80220603,-87.61892758,300 E 51st,CTA Green Line,3,Type B
POINT (-87.677195 41.91368),41.91368,-87.677195,1747 North Damen Avenue,"Mindy’s HotChocolate, 1747 N Damen Ave",1,Decorative
POINT (-87.607052 41.817555),41.817555,-87.607052,4232 South Cottage Grove Avenue,"Mama's Grill and Deli, 4248 S Cottage Grove",1,Type B
POINT (-87.70344289 41.93919911),41.93919911,-87.70344289,3017 W Belmont Avenue,3017 W Belmont Avenue,1,Type B
POINT (-87.55992299999998 41.70256599999999),41.702566,-87.559923,10600-10606 South Torrence Avenue,10606 South Torrence Avenue - Gusi's Pizza,1,Type B
POINT (-87.561055 41.74481800000001),41.744818,-87.561055,2600 East 83rd Street,"2600 East 83rd Street, Chicago IL",2,Type B
POINT (-87.631192 41.885901999999994),41.885902,-87.631192,203 North La Salle Street,203 N La Salle St,2,Type B
POINT (-87.642574 41.876735999999994),41.876736,-87.642574,Jefferson and Van Buren,Jefferson and Van Buren,2,Type B
POINT (-87.62406708 41.80937687),41.80937687,-87.62406708,46 E 47th,Commercial Strip,2,Type B
POINT (-87.77659788 41.93850946),41.93850946,-87.77659788,6006 W Belmont Ave,Wiklanski's Bakery,1,Type B
POINT (-87.67051499999998 41.94288199999999),41.942882,-87.670515,3345-3349 North Lincoln Avenue,"Bitter Pops, 3345 N. Lincoln",2,Type B
POINT (-87.71538935999999 41.86414667),41.86414667,-87.71538936,1308 S. Central Park Ave,Osama Foods,1,Type B
POINT (-87.63102300000001 41.888284),41.888284,-87.631023,325 North Clark Street,325 North Clark Street,2,Type B
POINT (-87.66263399999998 42.00796600000001),42.007966,-87.662634,1225 W. Morse,1225 W. Morse,1,Decorative
POINT (-87.629124 41.880571999999994),41.880572,-87.629124,33 West Monroe Street,33 West Monroe Street,1,Type B
POINT (-87.53515029999998 41.70600056),41.70600056,-87.5351503,10411 S Ewing,Barber Shop,1,Type B
POINT (-87.67952069999998 42.01390864),42.01390864,-87.6795207,7305 N. Rogers,Green Gate,1,Type B
POINT (-87.614225 41.653975),41.653975,-87.614225,330 East 133rd Street,DuBois Elementary School,2,Type B
POINT (-87.551053 41.73227299999999),41.732273,-87.551053,8959 South Commercial Avenue,8959 South Commercial Avenue - Catholic Charities,1,Type B
POINT (-87.70650799999999 41.844294),41.844294,-87.706508,3237 West 26th Street,Rosy's Bakery-3237 W 26th Street,1,Type B
POINT (-87.696535 41.8995),41.8995,-87.696535,1005 North California Avenue,"Space Oddities, 1007 N. California",1,Type B
POINT (-87.707713 41.962118),41.962118,-87.707713,4419-4421 North Kedzie Avenue,4447 North Kedzie Avenue,2,Type B
POINT (-87.710638 41.968179),41.968179,-87.710638,3253-3259 West Lawrence Avenue,Café Chien,2,Type B
POINT (-87.66081599999998 41.909063999999994),41.909064,-87.660816,1467 N Elston Ave,1467 N Elston Ave,2,Type B
POINT (-87.66086499999999 41.980141999999994),41.980142,-87.660865,5401 North Magnolia Avenue,1212 W Balmoral,1,Type B
POINT (-87.634495 41.90383199999999),41.903832,-87.634495,State Street Subway,Old Town Park,1,Type B
POINT (-87.66433399999998 41.949349),41.949349,-87.664334,3712 North Southport Avenue,3712 N Southport,1,Type B
POINT (-87.640391 41.880224),41.880224,-87.640391,525 West Monroe Street,100 S Canal/525 W Monroe,3,Type B
POINT (-87.69072399999999 41.94503199999999),41.945032,-87.690724,"2501 W. Addison, Lane Technical High School","Lane Technical High School, 2501 W. Addison",5,Type B
POINT (-87.668276 41.967511999999985),41.967512,-87.668276,4701 North Ashland Avenue,Chase Park 4701 N Ashland Ave Chicago,4,Type B
POINT (-87.66785300000001 41.902171),41.902171,-87.667853,1120 North Ashland Avenue,Dusty Groove,1,Type B
POINT (-87.660307 42.005554),42.005554,-87.660307,1146 W. Pratt Blvd,"Twisted Tapas, 1146 W. Pratt Blvd",2,Type B
POINT (-87.685723 41.96473999999999),41.96474,-87.685723,4553-4557 North Lincoln Avenue,4553-4557 N Lincoln Ave,3,Decorative
POINT (-87.660698 41.999949),41.999949,-87.660698,6422 N. Sheridan,Target,2,Decorative
POINT (-87.65358299999998 41.75542999999999),41.75543,-87.653583,7605-7617 South Racine Avenue,7617 South Racine Avenue - Popeyes,1,Type B
POINT (-87.667591 41.80832000000001),41.80832,-87.667591,1701 West 47th Street,El Guero #1 (Supermarket)-1701 W. 47th Street,1,Type B
POINT (-87.67267999999999 41.945721000000006),41.945721,-87.67268,3511-3523 North Lincoln Avenue,Cut Cats Courier LLC office,2,Type B
POINT (-87.645345 41.735606999999995),41.735607,-87.645345,849 West 87th Street,849 West 87th Street - Buy Low Food & Liquor,1,Type B
POINT (-87.70901104 41.85981564),41.85981564,-87.70901104,1533 S. Christiana Ave,Christiana Park,1,Type B
POINT (-87.632447 41.885414999999995),41.885415,-87.632447,SE corner lake and LaSalle,SE corner lake and LaSalle,4,Type B
POINT (-87.649808 41.946533),41.946533,-87.649808,3532 North Halsted Street,3532 North Halsted Street - Children's Learning Place,2,Type B
POINT (-87.64967 41.95319499999999),41.953195,-87.64967,3911 North Broadway,3911 North Broadway - 9 Round Fitness,1,Type B
POINT (-87.762189 41.96842099999999),41.968421,-87.762189,5415 West Higgins Avenue,Ed Paschke Art Center,2,Type B
POINT (-87.639305 41.88317),41.88317,-87.639305,500 West Washington Street,500 West Washington Street,1,Type B
POINT (-87.66129699999999 41.885647),41.885647,-87.661297,1356 West Lake Street,"1356 W Lake, CrossFit 312",2,Type B
POINT (-87.665601 41.80835899999999),41.808359,-87.665601,4700 South Ashland Avenue,47th and Ashland,1,Type B
POINT (-87.71411149 41.86623423000001),41.86623423,-87.71411149,3531-39	W. Roosevelt Rd,Central Park Theater,2,Type B
POINT (-87.689122 41.93211800000001),41.932118,-87.689122,2425 W. Diversey,R & S Food,1,Type B
POINT (-87.64804299999999 41.95438299999999),41.954383,-87.648043,3930 N. Pine Grove,"Go Grocer, 3930 N. Pine Grove",1,Type B
POINT (-87.70337 41.968250999999995),41.968251,-87.70337,2959 West Lawrence Avenue,2953 West Lawrence Avenue - Lincoln Square Montessori School,1,Type B
POINT (-87.76185629 41.93835587),41.93835587,-87.76185629,5401 W Belmont Ave,Bel-Long Pantry,1,Decorative
POINT (-87.75903999999998 41.931541),41.931541,-87.75904,5300 West Diversey Avenue,Belmont/ Cragin block of 5300 W. Diversey Ave.,1,Type B
POINT (-87.67744079999999 41.91099551000001),41.91099551,-87.6774408,1615 N. Damen Ave,Dimo's Pizza,1,Corral
POINT (-87.721623 41.937752),41.937752,-87.721623,3118 North Milwaukee Avenue - Avondale Bowl,3118 North Milwaukee Avenue - Avondale Bowl,2,Type B
POINT (-87.65601155 41.88053411),41.88053411,-87.65601155,1130 W Monroe,WNDR Museum,2,Type B
POINT (-87.71108099999998 41.866611999999996),41.866612,-87.711081,3410 West Roosevelt Road,"Gardeners, The Hive, I.AM.ABLE",4,Type B
POINT (-87.71003794 41.93135062999998),41.93135063,-87.71003794,2741 N Spaulding,Gilded Lily,1,Type B
POINT (-87.698436 41.923929999999984),41.92393,-87.698436,2339 North Milwaukee Avenue,Q-Tine,1,Type B
POINT (-87.710437 41.96862899999999),41.968629,-87.710437,3246-3250 West Lawrence Avenue,3250 West Lawrence Avenue - Cricket Wireless,2,Type B
POINT (-87.720287 41.90373799999998),41.903738,-87.720287,3709 West Grand Avenue,"River City Community Church, 3709 West Grand Avenue",3,Type B
POINT (-87.628392 41.89139799999998),41.891398,-87.628392,1 West Grand Avenue,Rock Bottom,1,Type B
POINT (-87.725048 41.919020999999994),41.919021,-87.725048,3923-3933 West Dickens Avenue,"Off Color Brewing, 3923-3933 West Dickens Avenue",2,Type B
POINT (-87.7532862 41.92434278999998),41.92434279,-87.7532862,5050 W Fullerton,Gaby's Panderia,1,Decorative
POINT (-87.690725 41.82259200000001),41.822592,-87.690725,3910 South Archer Avenue,Dunkin' Donuts-3910 S. Archer Ave.,1,Type B
POINT (-87.643568 41.746764999999996),41.746765,-87.643568,8103 South Halsted Street,8109 South Halsted Street - Spirits Beer and Wine,1,Type B
POINT (-87.767527 41.95837399999999),41.958374,-87.767527,4250-4254 North Central Avenue,Legno,1,Type B
POINT (-87.659761 41.82782),41.82782,-87.659761,3630-3636 South Iron Street,United States,2,Type B
POINT (-87.678484 41.902953999999994),41.902954,-87.678484,2029 West Division Street,"Jimmy John's, 2029 Division St.",1,Decorative
POINT (-87.639435 41.92336400000001),41.923364,-87.639435,2256 North Clark Street,Roughly 2256 N Clark St,1,Type B
POINT (-87.64640579999998 41.857064089999994),41.85706409,-87.6464058,1841 S Halsted,Oscar Luis Martinez Fine Arts,2,Type B
POINT (-87.687707 41.916334),41.916334,-87.687707,1912 North Western Avenue,1912 North Western Avenue,1,Type B
POINT (-87.64839 41.919752),41.919752,-87.64839,2049-2053 North Halsted Street,2052 N. Halsted St,1,Type B
POINT (-87.632347 41.896617),41.896617,-87.632347,122 West Chicago Avenue,122 West Chicago Avenue - Enrich Market,1,Type B
POINT (-87.71044057999998 41.86100051999998),41.86100052,-87.71044058,1448 S. Homan Ave,Carey Tercentenary AME Church,1,Type B
POINT (-87.753506 41.959926),41.959926,-87.753506,5036 West Pensacola Avenue,"4350 N. Milwaukee, IL District Office",1,Type B
POINT (-87.624161 41.887099),41.887099,-87.624161,307 North Michigan Avenue,PNC Bank,3,Type B
POINT (-87.67709060999998 41.9433726),41.9433726,-87.67709061,1924 W Roscoe,1924 W Roscoe,1,Type B
POINT (-87.733857 41.910019999999996),41.91002,-87.733857,1600-1610 North Kildare Avenue,1600 North Kildare Avenue - North Pulaski Branch Chicago Public Library,3,Type B
POINT (-87.807538 41.99753400000001),41.997534,-87.807538,6425 N. Northwest Hwy,"6425 N NW Hwy, CTA Bus Stop",1,Type B
POINT (-87.64940799999998 41.944464999999994),41.944465,-87.649408,3425 North Halsted Street,3425 North Halsted Street - Gerber Collision and Glass,3,Type B
POINT (-87.820965 41.997039),41.997039,-87.820965,7744-7756 West Devon Avenue,Learning Express Child Care,2,Type B
POINT (-87.681826 41.701379),41.701379,-87.681826,10546 South Western Avenue,10548 S. Western Ave.,1,Type B
POINT (-87.68047099999998 41.91987000000001),41.91987,-87.680471,2076 North Hoyne Avenue,The Charleston,1,Type B
POINT (-87.667082 41.90101),41.90101,-87.667082,1045 North Ashland Avenue,Urban Escape Healing,1,Type B
POINT (-87.660109 41.984724),41.984724,-87.660109,5630 N. Broadway Ave.,5630 N. Broadway Ave.,1,Type B
POINT (-87.75283007 41.93867278999999),41.93867279,-87.75283007,5025 W. Belmont,"Chicago Finest Cuts Barber, 5025 W. Belmont",1,Type B
POINT (-87.69568099 41.860870590000005),41.86087059,-87.69568099,1525 S. California,Sinai Hospital,1,Type B
POINT (-87.65400999999999 41.94039299999999),41.940393,-87.65401,3223 North Sheffield Avenue,3223 N Sheffield Ave,2,Type B
POINT (-87.70104799999999 41.92534799999999),41.925348,-87.701048,2421 North Milwaukee Avenue,"The Whistler, 2421 North Milwaukee Avenue",3,Type B
POINT (-87.718611 41.844111999999996),41.844112,-87.718611,3735 West 26th Street,AT & T Store-3735 W 26th Street,1,Type B
POINT (-87.666272 41.743027000000005),41.743027,-87.666272,1700 West 83rd Street,1700 West 83rd Street - Learn Charter School,1,Type B
POINT (-87.686898 41.916256),41.916256,-87.686898,1920 North Milwaukee Avenue,1920 North Milwaukee Avenue,1,Type B
POINT (-87.66437700000002 41.857461),41.857461,-87.664377,1515 West 18th Street,Nuevo Leon Restaurant,1,Type B
POINT (-87.67542 41.979453),41.979453,-87.67542,5356 North Ravenswood Avenue,Rogers Park Montessori School,1,Type B
POINT (-87.739871 41.948602999999984),41.948603,-87.739871,3734 North Milwaukee Avenue,"Metra & Divvy Station, 3734 N.  Milwaukee Ave",4,Type B
POINT (-87.636282 41.897392999999994),41.897393,-87.636282,303 W. Institute Pl.,303 W. Institute Pl.,2,Type B
POINT (-87.713297 41.973895999999996),41.973896,-87.713297,N. Kimball & W. Carmen,"Albany Park Community Center, N. Kimball & W. Carmen",3,Type B
POINT (-87.73455466999998 41.85519051),41.85519051,-87.73455467,1863 S. Kostner,Unity Park,1,Type B
POINT (-87.711063 41.91735899999999),41.917359,-87.711063,3317 W Armitage Ave,"Damn Fine, 3317 W Armitage Ave",2,Type B
POINT (-87.78338496 41.92196353999999),41.92196354,-87.78338496,6309 W Grand Ave,Supermercado el Taxquenito,1,Type B
POINT (-87.670228 41.89574999999999),41.89575,-87.670228,1709-1715 West Chicago Avenue,Reach Fieldhouse,1,Type B
POINT (-87.65123999999999 41.963951),41.963951,-87.65124,828-838 West Sunnyside Avenue,1025 W. Sunnyside,1,Type B
POINT (-87.651354 41.836888),41.836888,-87.651354,3134 South Morgan Street,3134 South Morgan Street,1,Type B
POINT (-87.76774305 41.93863848000001),41.93863848,-87.76774305,5630 W. Belmont Ave,Tony's Fresh Market,3,Type B
POINT (-87.651645 41.95671699999999),41.956717,-87.651645,4075-4091 North Broadway,"Nearly New Bikes, 4075 N. Broadway",2,Type B
POINT (-87.67200699999998 41.808282999999996),41.808283,-87.672007,1859 W. 47th St,"Granados Liquor,1859 W. 47th St",2,Type B
POINT (-87.71622979 41.86290746),41.86290746,-87.71622979,3622 W. Douglas Blvd,Stone Temple Baptist Church,1,Type B
POINT (-87.75833715 41.938737030000006),41.93873703,-87.75833715,5244 W. Belmont,"Office / Popeyes, 5244 W. Belmont",1,Type B
POINT (-87.63316 41.87749),41.87749,-87.63316,175 West Jackson Boulevard,Fifth Third Bank,1,Type B
POINT (-87.62370299999999 41.893501),41.893501,-87.623703,142-148 East Ontario Street,"142 East Ontario Street, Chicago IL",1,Type B
POINT (-87.67107899999999 41.99842099999999),41.998421,-87.671079,6408-6412 North Clark Street,"Touché, 6414 N. Clark",1,Type B
POINT (-87.71687598999999 41.96598529),41.96598529,-87.71687599,4643 N. Drake Ave,"Drake Gardens, 4643 N. Drake Ave",2,Type B
POINT (-87.627064 41.872178),41.872178,-87.627064,725-767 South State Street,Jimmy johns,1,Type B
POINT (-87.68875414 41.96615924999999),41.96615925,-87.68875414,4645 N.	Western Avenue,CTA Western Brown Line,3,Type B
POINT (-87.644536 41.87893900000001),41.878939,-87.644536,210 South Deplanes Street,Deplanes and Adams,1,Type B
POINT (-87.75776266 41.93872888),41.93872888,-87.75776266,5226 W. Belmont,"Bim Bom Lounge, 5226 W. Belmont",2,Type B
POINT (-87.57564799999999 41.75625699999999),41.756257,-87.575648,7627 South Jeffrey Blvd,7627 South Jeffrey Blvd. - Strip mall,1,Type B
POINT (-87.64899099999998 41.89097399999999),41.890974,-87.648991,833-837 West Grand Avenue,833 W Grand - Salon 833,1,Type B
POINT (-87.78158799999999 41.93819799999999),41.938198,-87.781588,6211 West Belmont Avenue,Zeida's Family Hair Care,1,Type B
POINT (-87.653643 41.884955999999995),41.884956,-87.653643,150-160 North Carpenter Street,"1034 W. Randolph, Venue One",2,Type B
POINT (-87.640377 41.882147),41.882147,-87.640377,"Pedway, North side of Madison",North side of Madison,3,Type B
POINT (-87.675497 41.908956),41.908956,-87.675497,1514 North Milwaukee Avenue,Rapha Chicago,1,Decorative
POINT (-87.656548 41.86959199999999),41.869592,-87.656548,1158-1160 West Taylor Street,"Gentile's Wine and Spirit, 1158-1160 West Taylor Street",1,Type B
POINT (-87.67810932 41.88684087000001),41.88684087,-87.67810932,2030 W. Fulton,"Rhine Hall Distillery, 2030 W. Fulton",2,Type B
POINT (-87.62720799999998 41.889995),41.889995,-87.627208,21 East Hubbard Street,21 E. Hubbard,1,Type B
POINT (-87.675142 41.915706),41.915706,-87.675142,1845 W. Cortland,Drummond Montessori Elementary,6,Type B
POINT (-87.644014 41.88592499999999),41.885925,-87.644014,628 West Lake Street,630 West Lake Street,1,Type B
POINT (-87.75780314 41.931266730000004),41.93126673,-87.75780314,5233 W Diversey Ave,Northwest Side Housing Center,1,Decorative
POINT (-87.621954 41.886126),41.886126,-87.621954,211 North Stetson Avenue,Stetson/Lake,3,Type B
POINT (-87.678961 41.967309),41.967309,-87.678961,4711 North Damen Avenue,"Turin Bike Shop, across street 4711 N Damen Ave.",2,Type B
POINT (-87.67539599999999 41.908872),41.908872,-87.675396,N. Honore St. & N. Milwaukee Ave,N. Honore St. & N. Milwaukee Ave,1,Type B
POINT (-87.71189755 41.920941989999996),41.92094199,-87.71189755,3398 W. Palmer,Super Mercado Brisa Foods,1,Type B
POINT (-87.619679 41.89170399999999),41.891704,-87.619679,303 East Grand Avenue,303 East Grand Avenue,2,Type B
POINT (-87.76608220999998 41.92919133000001),41.92919133,-87.76608221,2659 N Central Ave,Commercial Plaza,1,Type B
POINT (-87.62632999999998 41.89727),41.89727,-87.62633,55 East Pearson Street,The Clare - East Side,1,Type B
POINT (-87.60696 41.817045),41.817045,-87.60696,746-754 East 43rd Street,Small Shop Cycles & Service,1,Type B
POINT (-87.624885 41.877345),41.877345,-87.624885,332-338 South Michigan Avenue,"Intrax, 332 S Michigan Ave",2,Type B
POINT (-87.64644799999999 41.859515999999985),41.859516,-87.646448,1601-1621 South Halsted Street,1601-1621 South Halsted Street,2,Type B
POINT (-87.62627 41.89349200000001),41.893492,-87.62627,44 East Ontario Street,44 East Ontario - Trader Joes,2,Type B
POINT (-87.613489 41.830741999999994),41.830742,-87.613489,521 East 35th Street,"Urban Prep Bronzeville, 521 E. 35th St",3,Type B
POINT (-87.68739099999999 41.919826999999984),41.919827,-87.687391,2075 N. Western Ave.,"Saint Lucia's Smoke Shop, 2075 N. Western Ave.",1,Type B
POINT (-87.68539299999999 41.84840499999999),41.848405,-87.685393,2359 S. Western,Bienestar Pharmacy 3,1,Type B
POINT (-87.70835400000001 41.97184899999999),41.971849,-87.708354,4947-4959 North Kedzie Avenue,4953-57 N. Kedzie Ave,2,Type B
POINT (-87.64176999999998 41.685593),41.685593,-87.64177,11443 South Halsted Street,11443 South Halsted Street - Imani Children's Academy,1,Type B
POINT (-87.68561700000001 41.963637999999996),41.963638,-87.685617,4518 North Lincoln Avenue,Bistro Campagne,1,Type B
POINT (-87.61323399999999 41.81689500000001),41.816895,-87.613234,526East 43rd Street,Ain't She Sweet Cafe/Sip and Savor Coffee,1,Type B
POINT (-87.63539400000002 41.88948399999999),41.889484,-87.635394,401 North Franklin Street,"401 N. Franklin, Office Building/Donut Vault",1,Type B
POINT (-87.81216 41.97441699999999),41.974417,-87.81216,7400 West Foster Avenue,7400 West Foster Avenue,1,Type B
POINT (-87.649398 41.95011499999998),41.950115,-87.649398,3726-3752 North Broadway,3733 North Halsted - The North End,1,Type B
POINT (-87.679121 41.829499999999996),41.8295,-87.679121,3541-42 S Archer Ave,"Family Thrift Store Outlet & Pilsen Bike Shop, 3541-42 S Archer Ave",1,Type B
POINT (-87.660983 41.85845799999999),41.858458,-87.660983,1664 South Blue Island Avenue,McDonald's-1664 S Blue Island Ave,1,Type B
POINT (-87.72568200000002 41.971442),41.971442,-87.725682,4950 N. Avers Ave,Volta Elementary School,6,Type B
POINT (-87.650488 41.917925999999994),41.917926,-87.650488,851 West Armitage Avenue,Warby Parker,1,Type B
POINT (-87.706322 41.91044500000001),41.910445,-87.706322,3198 W. North Ave,BP,1,Type B
POINT (-87.655963 41.88434699999999),41.884347,-87.655963,1144 W. Randolph St,"Art + Science Salon, 1144 W. Randolph St",1,Type B
POINT (-87.649809 41.94831599999999),41.948316,-87.649809,3640 North Halsted Street,3640 North Halsted Street - Whole Foods,3,Type B
POINT (-87.624699 41.89454800000001),41.894548,-87.624699,670 North Michigan Avenue,670 North Michigan Avenue,1,Type B
POINT (-87.70769699999998 41.95501800000001),41.955018,-87.707697,4027 North Kedzie Avenue,4027 N. Kedzie,1,Type B
POINT (-87.688905 41.97721299999999),41.977213,-87.688905,5239-5247 North Western Avenue,5239-5247 North Western Avenue,1,Type B
POINT (-87.71811 41.844573999999994),41.844574,-87.71811,3724 W 26th Street,Moreno's Liquors-3724 W 26th Street,1,Type B
POINT (-87.67503499999998 41.89573),41.89573,-87.675035,1907 West Chicago Avenue,West Town Tattoo,1,Type B
POINT (-87.714181 41.90978099999999),41.909781,-87.714181,3455 West North Avenue,3455 West North Avenue,1,Type B
POINT (-87.72509772 41.860396609999995),41.86039661,-87.72509772,1512 S. Pulaski,BBF Family Services,1,Type B
POINT (-87.682813 42.012269),42.012269,-87.682813,7131-7133 North Ridge Boulevard,"Store Fronts/Divvy Station, 7131 N. Ridge",1,Type B
POINT (-87.658028 41.74329699999999),41.743297,-87.658028,1348-1356 West 83rd Street,1348 West 83rd Street,1,Type B
POINT (-87.68105699999998 41.90284599999998),41.902846,-87.681057,2133 West Division Street,2133 West Division Street - Division Street CrossFit,1,Type B
POINT (-87.650714 41.83084099999999),41.830841,-87.650714,3465 South Morgan Street,"Johnny O's, 3465 South Morgan Street",1,Type B
POINT (-87.72462327999999 41.85893373999998),41.85893374,-87.72462328,3946 W. 16th,Sixteenth St. Unisex Salon,1,Type B
POINT (-87.740552 41.96811199999999),41.968112,-87.740552,4463 West Lawrence Ave,4463 West Lawrence Ave -  Casa Hair Salon,1,Type B
POINT (-87.70345199999998 41.917132999999986),41.917133,-87.703452,3021-3031 West Armitage Avenue,Plaza Food Inc,1,Type B
POINT (-87.7252556 41.870363659999995),41.87036366,-87.7252556,817 S. Pulaski,Food Shelter,1,Type B
POINT (-87.66026 41.974123000000006),41.974123,-87.66026,5036-5050 North Broadway,5060 North Broadway Office Building,2,Type B
POINT (-87.72784499999999 41.931784),41.931784,-87.727845,4000 W. Diversey,"Diversey and Pulaski, Cermack Market",2,Type B
POINT (-87.644378 41.74994),41.74994,-87.644378,7908-7938 South Halsted Street,7908 South Halsted Street - 5 Star Chicken,1,Type B
POINT (-87.76631822999998 41.93506264999999),41.93506265,-87.76631823,3001 N Central Ave,Golden Nugget,1,Type B
POINT (-87.665291 42.010703),42.010703,-87.665291,1368-1376 West Greenleaf Avenue,Greenleaf and Glenwood,1,Type B
POINT (-87.63556800000002 41.885526),41.885526,-87.635568,180 North Franklin Street,305 West Lake Street,1,Type B
POINT (-87.69020963 41.91831489),41.91831489,-87.69020963,2040 N Milwaukee,The Lincoln Lodge,4,Type B
POINT (-87.776431 41.937845),41.937845,-87.776431,3140 North Austin Avenue,Don Capi Barbershop,1,Type B
POINT (-87.63049399999998 41.889469000000005),41.889469,-87.630494,60 West Kinzie Street,60 West Kinzie Street,1,Type B
POINT (-87.63195399999998 41.830932),41.830932,-87.631954,"Guaranteed Rate Field, S. Wentworth & W.35th","Guaranteed Rate Field, S. Wentworth & W.35th",3,Type B
POINT (-87.64291899999999 41.89493),41.89493,-87.642919,700-720 N Larrabee St,700-720 N Larrabee St,2,Type B
POINT (-87.64685899999999 41.876899),41.876899,-87.646859,333 S. Halsted,National Hellenic Museum,2,Type B
POINT (-87.65089455999998 41.896282250000006),41.89628225,-87.65089456,"925 W. Chicago Ave, Aglaia Coffee & Tea Company","925 W. Chicago Ave, Aglaia Coffee & Tea Company",1,Type B
POINT (-87.73000952 41.85885951),41.85885951,-87.73000952,1558 S. Keeler,Unique Entertainment,1,Type B
POINT (-87.62876699999998 41.899404000000004),41.899404,-87.628767,900 North State Street,900 North State Street - Chase Bank,1,Type B
POINT (-87.75860872 41.93862455),41.93862455,-87.75860872,5247 W. Belmont,"Mariscos Playa Azul, 5247 W. Belmont",1,Type B
POINT (-87.68967 41.96835000000001),41.96835,-87.68967,2415-2421 West Lawrence Avenue,Lincoln Square Barbershop,2,Type B
POINT (-87.649622 41.94209999999999),41.9421,-87.649622,3306 North Halsted Street,3306 North Halsted - The Leigh Gallery,1,Type B
POINT (-87.62352299999999 41.886058000000006),41.886058,-87.623523,205 North Michigan Avenue,Michigan Plaza/Michigan & Lake,4,Type B
POINT (-87.682763 41.917466),41.917466,-87.682763,1946 North Leavitt Street,"Antico, 1946 N Leavitt St",2,Type B
POINT (-87.65423999999999 41.887252),41.887252,-87.65424,311-315 North Aberdeen Street,311 N Aberdeen,1,Type B
POINT (-87.62573599999999 41.884334),41.884334,-87.625736,55 East Randolph Street,55 East Randolph Street,2,Type B
POINT (-87.72923099999998 41.991196),41.991196,-87.729231,6040 North Pulaski Road,"Habitat for Humanity ReStore, 6040 N Pulaski",1,Type B
POINT (-87.70780199999999 41.956959999999995),41.95696,-87.707802,4137-4145 North Kedzie Avenue,The Kedzie Center,1,Type B
POINT (-87.640986 41.876757999999995),41.876758,-87.640986,315 S. Clinton St.,315 S. Clinton St.,2,Type B
POINT (-87.62720799999998 41.877431),41.877431,-87.627208,1 East Jackson Boulevard,55 E Jackson Blvd,1,Type B
